Date,VNI30,ACB,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PLX,PNJ,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIC,VJC,VNM,VPB,VRE
21/03/2022,1502.67,26360,43800,54865,32850,78504,110973,33699,22640,35457.2,48455,26833.3,119950,67014,82400,66691.1,53718,77657.8,16200,149246,39361.9,33100,49450,25833,84900,75301,81000,143300,73702.1,24533.3,33200
22/03/2022,1513.4,26640,43500,54865,33000,79410,111947,33748,22640,35495,48000,27041.7,122846,67163,84100,66984.6,54486,78687.4,16500,151011,39406.3,34050,49900,26222,84900,75787,82200,140800,73037.2,24566.7,33200
23/03/2022,1505.59,26560,43400,54022,32850,79492,109319,34479,22400,35419.4,48182,26791.7,121605,67064,83800,66250.9,53718,77290.1,16900,154443,39273.1,34000,49600,25930,84900,75010,81400,141000,68567.1,24433.3,32850
24/03/2022,1497.44,26320,43100,53839,32550,79080,109319,33992,22480,35116.6,48273,26708.3,121274,66567,82800,68892.2,53718,78687.4,16800,154738,37443.5,33650,49300,25963,83500,73552,81000,144000,68116.6,24233.3,32800
25/03/2022,1498.36,26160,43450,53565,32200,78833,107761,33797,22360,35116.6,44050,26500,121109,69001,83600,69112.3,53718,79569.9,16600,154443,37144.3,33650,49250,25833,82500,73747,81000,143000,67756.2,24500,32700
28/03/2022,1484.16,25880,41600,53565,31800,80810,107566,32969,21920,34738.2,43719,26250,120447,71535,82500,68231.9,53718,79569.9,16050,154542,36118.4,31850,48800,25542,82400,72775,80500,140800,66134.4,24166.7,32000
29/03/2022,1500.57,25880,42400,56220,32000,86412,108929,33602,22040,34700.4,44132,26666.7,119123,72777,82500,67498.2,54102,81261.3,16250,154934,36460.4,32300,48900,26092,81900,74330,80800,142900,68026.5,24266.7,32550
30/03/2022,1500.23,26080,43550,56495,32050,87318,107177,32969,22640,34435.5,43471,27208.3,119123,71733,80000,66544.4,52759,79643.4,15950,154836,36161.2,32250,49150,25898,82000,73650,81100,140500,68657.2,24533.3,32500
31/03/2022,1508.53,26440,43500,56311,32450,88142,105425,33115,22680,34132.8,43636,27458.3,117634,72429,80100,65664,52951,81261.3,15850,155914,35904.7,31700,49550,25995,82100,73650,81200,140500,72892,24800,33450
01/04/2022,1542.47,26720,44350,58051,33050,91437,106788,33651,19436,34586.9,44298,27750,121191,77496,82600,68011.8,52855,86188.4,16000,162092,36674.1,32200,50300,26707,82800,74038,82100,140900,73612.8,25733.3,34050
04/04/2022,1548.04,26800,44250,58234,32850,90036,109416,35550,19205,34700.4,43636,27500,124087,76999,86500,68158.5,53910,85747.2,16200,163269,38469.3,32200,49650,26707,82600,74135,82700,142900,74063.3,26000,34050
05/04/2022,1539.2,26400,43300,58417,32350,89789,111265,35452,18974,34889.6,42975,27208.3,125410,77098,87700,68231.9,53814,86629.7,16350,162975,37870.9,31800,49050,26416,70279,74233,82300,141500,72441.4,25533.3,33650
06/04/2022,1557.11,26560,43500,59699,32600,93084,110681,36037,19139,35759.9,42149,27791.7,127230,78887,86300,68231.9,53718,86850.3,16400,166211,38127.4,32350,49900,26643,71634,74135,80500,141000,71450.3,26633.3,33600
07/04/2022,1541.96,26880,43050,58967,32550,93331,109805,35355,19073,35230.2,42231,28083.3,124914,76999,84600,67938.4,54294,84644.1,16650,163269,37657.2,31900,49300,26545,70279,72872,79500,137000,70729.5,26533.3,32650
08/04/2022,1524.31,27080,41900,58143,32050,89377,107274,33943,18644,35116.6,42066,27666.7,122846,74515,85400,66764.5,53910,84202.9,16200,161013,36759.6,31000,48850,26027,70279,72969,81700,138400,69648.3,25866.7,32200
12/04/2022,1507.2,26760,40450,54938,31000,90448,106009,32141,18347,34132.8,41405,26875,124484,75856,85000,66030.8,52375,82658.5,15600,160131,35733.7,30800,48000,24635,69771,70929,81300,138000,69197.8,26000,31100
13/04/2022,1525.39,26920,40900,57960,31500,94814,107177,33602,18479,34208.4,41818,27166.7,125973,77595,86500,66764.5,52471,85305.9,15700,160327,36374.9,31350,48000,25898,69771,71026,82200,138100,69558.2,26000,31850
14/04/2022,1518.01,27040,40500,57227,31200,96050,108637,33651,18017,33981.4,41405,26916.7,124782,79234,85000,59324.3,52471,86041.3,15550,163661,35904.7,30800,47300,25283,68586,70249,81700,136900,68747.3,26333.3,31850
15/04/2022,1493.74,26840,39300,61164,27742.6,94732,112044,35063,17357,33451.6,40909,26166.7,124087,79582,84100,57402,52471,86114.9,14700,165328,34195,30100,45600,24182,67909,69083,80700,135900,68927.5,25666.7,31500
18/04/2022,1468.25,26240,37950,61164,26131.8,95144,112239,35842,17159,32278.5,40744,25250,123094,79582,82200,58197.4,47988,90821.4,14500,166701,32057.8,29000,44850,24538,65792,67820,79500,138300,69378,24433.3,31350
19/04/2022,1440.61,25320,37950,60157,25729,92261,110876,34089,17093,32770.5,41405,24416.7,119620,76759,82000,56871.8,46265,85287.9,13500,80096,29920.6,27500,43700,23438,65792,66945,78800,143100,68477,23866.7,30850
20/04/2022,1435.5,25520,37950,58600,25684.3,92261,103770,31703,16994,32694.8,41240,24583.3,123392,76759,81400,57369.2,46537,85287.9,13050,81566,30091.6,27550,43050,22984,66384,64905,79300,142000,68116.6,23466.7,30650
21/04/2022,1426.87,21050,38500,60890,25952.8,92261,102212,29706,16433,32808.3,39669,25000,122101,76513,80100,57278.9,45630,85359.6,13300,80475,30818.2,27650,43600,22531,66384,62184,77500,136500,67576,23666.7,30500
22/04/2022,1444.32,21585,38500,57685,26310.7,91519,109319,28732,16598,33148.9,40496,25000,122399,76661,81000,58634,45448,82490.4,13350,80760,30818.2,28800,44100,22790,69602,62865,77700,138200,68386.9,24533.3,30900
25/04/2022,1366.39,20382,35850,53656,24476.1,85176,101726,26735,15542,30840.6,38017,23416.7,115153,71297,80100,56014,42273,76751.9,12450,75117,28681,26800,41050,22337,69263,61213,76200,131000,66224.5,22833.3,29050
26/04/2022,1396.9,20649,36900,56678,24744.6,85918,106106,27758,16169,31181.2,38802,24458.3,115153,73216,81000,56646.4,43362,77038.8,13000,80143,29493.2,27400,41500,22628,68163,63156,78000,129000,68386.9,21961.9,31050
27/04/2022,1402.03,20649,37200,56311,25326.3,84847,108053,28343,16499,29241,38843,20539.2,118131,72429,81300,56014,43815,76751.9,12950,80143,29407.7,28200,41600,22531,69009,63156,78000,129000,67576,21690.4,30500
28/04/2022,1400.88,20716,36700,54938,25236.8,86906,84319,28002,16631,29654,38843,20366.3,115649,71347,81700,56014,43362,76178.1,12800,78246,28638.3,27700,42300,21754,69009,62670,77900,129000,66945.3,22022.2,29850
29/04/2022,1417.31,21852,33055,56861,24834.1,73600,82989,28099,16697,29791,39587,20608.4,115153,73413,82000,56104.4,43543,77469.2,13150,76871,28681,27700,44000,21754,68501,63156,80000,129900,66855.2,22142.9,30900
04/05/2022,1389.59,21217,33055,57685,24162.9,73249,84554,27320,16367,28897,38430,19986,112274,73561,80500,55562.3,44133,77684.4,14050,77535,27356,26750,42000,20718,67655,62670,79700,130300,65323.4,21599.9,29950
05/05/2022,1404.88,21184,33898,58600,24968.4,73389,85650,27466,16598,28931,38099,20055.1,118131,73512,81200,55562.3,43180,78903.8,14150,80333,26501.1,26900,42600,22143,68586,66848,80000,130800,64963,21449,30300
06/05/2022,1373.21,20716,32833,58417,24162.9,70235,85964,26102,15872,28759,38099,19363.6,116145,72134,80800,55110.6,41547,76393.3,13900,79432,24663.1,25500,41500,21754,67231,66751,79800,128000,63251.1,20604.4,29600
09/05/2022,1314.04,20449,30571,54389,22507.3,65889,82127,24301,15179,27486,35455,18118.8,114061,67115,78500,53574.7,38645,71085.2,12950,75923,22953.4,23750,38600,20459,65961,66071,79100,124000,63070.9,19186.5,28200
10/05/2022,1345.46,20583,31769,54938,22552.1,68974,84554,24106,15872,28278,35868,18706.6,115252,68936,79000,55923.7,38735,73882.7,13300,78199,23851,23900,38700,21560,67739,67917,80400,129100,63611.5,20091.5,28100
